Gouvernorat,Price,rooms,Localisation,Description
Tunis,505000.0,2.0,Ain Zaghouan,"la croisette immobilière tunisie vous propose à la vente un appartement s+2 neuf occupant le rez-de-chaussée d'une résidence gardée à ain zaghouan nord.ce dernier fait 121 mètres carrés et se compose d'un salon donnant sur une terrasse de 40 mètres carrés, d'une cuisine aménagée et équipée attenante à un séchoir, d'une salle d'eau invités, d'une suite, d'une chambre à coucher et d'une salle de bain.l'appartement est équipé du chauffage central et de climatiseurs.une place de parking au sous-sol est à disposition pour une somme supplémentaire de 25000 dt.réf:mav1796"
Tunis,250000.0,1.0,Ain Zaghouan,"la croisette immobilière tunisie vous propose à la vente un appartement s+0 occupant le premier étage d'une résidence gardée à ain zaghouan nord.ce dernier fait 43 mètres carrés et se compose d'un salon donnant sur un balcon, d'une cuisine ouverte aménagée et équipée et d'une salle d'eau avec douche.l'appartement est équipé du chauffage central et de climatiseurs et dispose d'une place de parking au sous-sol.réf:mav1791"
Tunis,60000.0,1.0,El Manar 1,"a vendre  chez la rosa immobilière, un garage situé dans une résidence proche de toutes commodités à manar1 proche de  la clinique d'el manar.- superficie : 18 m2- eau et électricité.- papiers : contrat snit- prix de vente : 60 mille dinarssaisissez cette opportunité car ce garage viabilisé vous pouvez le transformer en un petit studio, un local commercial ..n'hésitez pas de nous appeler : 23367974 watts 50 226 311"
Tunis,120000.0,3.0,Cite El Khadra,vous cherchez un appartement à petit prix? la solution est avec la rosa immobilière en vous proposant en vente ce mignon appartement s+2 situé au 3ème étage (sans ascenseur) situé à cité khadhra à proximité de la clinique ibn zohr.l'appartement est composé  comme suit :* un salon* 2 chambres* une salle de bain.* une cuisine* gaz de ville- superficie : 60 m2prix de vente 120 milles dinarscontactez nous pour plus d'informations : tel : 23367974 / watts: 50 226 311
Ariana,330000.0,4.0,La Soukra,"en exclusivité.a vendre un appartement s+3 (vide) à la soukra.a vendre un agréable  appartement s+3 ,à la soukra à proximité de toutes les commodités au 2eme et dernier etage d'une résidence sans ascenseur, d'une superficie de 168m2,composé d'un hall, d'un  grand salon salle à manger avec grand balcon, d'une salle d'eau invités, d'une cuisine spacieuse meublée avec sechoir, un couloir muni de placards nous méne vers 3 chambres à coucher avec placards,une salle de bain. l'appartement est doté du  chauffage central et de climatiseurs,d'un interphone, un abri voiture non privatif dans la residence est a disposition.prix : 330 md.pour plus de renseignement appelez au 52 37 45 36 ."
Ariana,475000.0,3.0,La Soukra,"en exclusivité direct de chez le promoteurs+2 avec jardina vendre un appartement luxueux s+2 avec jardin à la soukra dans une résidence très agréable , lappartement est d'une surface de 118m2 couverts et 30m2 de jardin , composé d'un salon salle à manger donnant sur le jardin, d'eau invités,une cuisine équipée avec séchoir ;  2 chambres à coucher avec dressings,une salle d'eau douche , l'appartement est doté du chauffage central et de 4 climatiseurs à split ,une place de parking au sous sol  .prix : 475md .pour plus de renseignement appelez au 52 374 536  ."
Tunis,710000.0,3.0,Ain Zaghouan,sweet home vous propose à la vente un appartement  s+2 direct promoteur d'une superficie 198m² à ain zaghouan nord  situé en 2 éme étage d'une résidence calme et sécurisée  composé de :salon avec terrassechambre a coucherune suite parentalecuisine équipéesalle de douchechauffage centrale / climatiseursprix de vente : 710 000 dtpour visitez ou demande dinformations supplémentaires contactez  nous au  : +216 28 047 983 / +216 54 941 053 ( whatsapp ) .
Ariana,240000.0,3.0,Ariana,a v  appt  (  s+2  ) haut standing - 2ème étg   avec assenceur  jusqu'au  sous sol  parking - cuisine équipée - ch.central - 2 climatiseurs - résidence  trés  propre (  gardée  24/24  ) avec syndic - a ghazala entre  pole tech  et  rompoint ariana essoghra - - pour viste sur  rdv  prés station  agil  cité olympique / 53999911
Ariana,240000.0,3.0,Cite El Ghazala 1,ariana - cité el-ghazala   juste  a 5mn de pole technologique  et  esprit  et a 2mn de rompoit  ariana  essoghra -  a vendre   appt  haut standing  ( s.s  plus 2 pièces   ) - 2ème étage  avec assenceur  jusqu au  place parking  sous sol  - résidence propre  et trés calme  - gardée 24/24  avec caméra de survaillence - - pour viste sur  rdv  prés station  agil  cité olympique  el-manzeh / tél : 53999911
Tunis,265000.0,4.0,El Manar 1,manar 1notre agence eden immo met en vente un appartement avec titre foncier individuelsup : 114 m23éme étage sans ascenseursalon avec balcon3 chambrescuisine équipée avec séchoirsalle d'eausalle de bainprix 265 mdpour plus d'informations ou pour planifier une visite veuillez nous contacter sur :53 383 86299 027 80071 787 735
Ariana,257000.0,2.0,Cite Ennasr 2,réf 101va vendre coquette s+1ennaser 2  côté amen bank5 ème étage avec ascenseursalon avec terrassesuperficie 50 m2chambre à couchercuisine équipéesalle d'eautitre individuelprix 257000 mdnuméro de téléphone 54542023
Tunis,155000.0,3.0,Bab Bhar,bab el khadhranotre agence eden immo met en vente un appartement au 2ème étagesuperficie :105 m2 avec les partis communeshallsalon2 chambrescuisinesalle d'eausalle de bainsyndiquefemme de ménageimmeuble sécurisé et proprepapiers en règlepour plus d'informations veuillez nous contacter sur :58 753 75499 027 80071 787 735
Ariana,135000.0,3.0,Cite Ettaamir,"agence immobilière 100's immo vous propose pour la vente un appartement 115 m² sis à ariana borj louizir au 4ème étage dans une #résidence sécurisée et proche de toutes commodités à 2 minutes de l'aéroport international de tunis-carthage.la partie ** jour** :- d'un grand salon donnant sur un balcon.- d'une cuisine classique avec séchoir.la partie **nuit** :- 3 chambres à coucher .- d'une salle de bain commune et salle d'eau invitée.- place parking.pour plus d'informations, contactez notre agent immobilier via whatsapp & mobile (+216) 22 523 691."
Tunis,85000.0,2.0,Bab Bhar,avenue hadi chakernotre agence eden immo met en vente un appartement au 2ème étagesuperficie :43m2salonchambrecuisinesalle d'eausalle de bainimmeuble sécuriséemplacement agréablepour plus d'informations veuillez nous contacter sur :58 753 75499 027 80071 787 735
Ariana,180000.0,2.0,Cite Ennasr 1,"met à la vente un appartement  s+1  de haut standing de 55 m2  au 1er étage dans une résidence luxueuse, gardée et sécurisée proches de toutes commodités.il se compose d:- un salon avec un petit balcon- une kitchinette ouverte équipé et aménagée- une salle deau avec douche italienne- une chambre a couché avec dressing- un chauffage centrale- climatisation- gardinnage et syndiccertificat de propriété en règleannée de construction 2019"
Ariana,510000.0,4.0,Cite Ennasr 1,"ennaser 1notre agence eden immo met en vente un appartementrez-de-chausséesuperficie  : 135 m2salon, 3 chambres à couchercuisine équipée, salle de bain , salle d'eauchauffage centraldébarras grand jardin de 70 m2abri de voituretitre foncier individuelpour plus d'informations ou pour planifier une visite veuillez nous contacter sur :53 383 86299 027 80071 787 735"
Tunis,210000.0,3.0,Cite Oplympique,"cité olympiquenotre agence eden immo met en vente un appartementsuperficie : 80 m21ér étage sans ascenseursalon, 2 chambres avec des placardscuisine équipéesalle d'eau , salle de bain2 climatiseurs , place parkingjardin collectifpour plus d'informations ou pour planifier une visite veuillez nous contacter sur :53 383 86299 027 80071 787 735"
Tunis,230000.0,2.0,Berge Du Lac,on vous propose à la vente un appartement s1 au berges du lacl'appartement se compose-dun hall qui distribue une cuisine donnant sur un séchoir-un grand salon donnant sur un balcon-une chambre à coucher-une salle de bainlappartement fait 57m de superficie nette hors partie commune et balcon.lappartement nécessite un rafraichissement et une mise à niveau.pour plus de détails veuillez nous appeler au 98271714
Tunis,230000.0,2.0,El Aouina,#réf 79và vendre bel appartement s1 neufaouina wahatsuperficie 70 m2construction 2023salon lumineux avec balconkitchenette équipéedes placardschauffage central et climatiseursprix de vente  230.000 mdnuméro de téléphone 54542023
Ariana,490000.0,4.0,La Soukra,"on met en vente un joli appartement  s+3 à la soukral'appartement se trouve dans un quartier chic et résidentiel, proche de toutes commoditésil se compose d'un salon avec balcon , une suite parentale , 2 chambres à coucher  , une belle cuisine bien aménagée et équipée(plaque+ four  +hotte)avec séchoir, salle de bain et salle d'eau pour les invitésl'appartement est muni d'une place de parkingprix de vente : 490 mdtel : 22400401"
Ariana,270000.0,3.0,La Soukra,"on vous propose à la vente un appartement de type s2 à la soukra dans une résidence bien gardée et sécuriséel'appartement est d'une superficie de 98 m², sis au 2ème étage avec ascenseur d'une résidence r4 à la soukra.il se compose d'un salon, une cuisine équipée ouvrant sur un séchoir, deux salles d'eau et deux chambres à coucher dont une ouvre sur le balcon avec vue sur l'avenue de l'uma.caractéristiques: chauffage central, climatiseurs split, 1 place de parking au sous-sol.prix de vente : 270 mdtel : 22400401"
Tunis,120000.0,4.0,El Mourouj 2,à vendre appartement s+2 elmourouj2 à la résidence mouna2 côté station métro situé au 4ème étage résidence gardée 24/24 avec parking et zone verte.prix :120mdtél :0021698202521
Tunis,185000.0,1.0,El Aouina,"nous vous proposons à la vente un appartement s+1, situé dans une résidence  sécurisée et bien entretenue avec ascenseur, à proximité de toutes les commodités. ce bien comprend un salon lumineux, une cuisine aménagée avec séchoir, une chambre à coucher et une salle de douche.pour toute information complémentaire, n'hésitez pas à nous contacter au 25369776"
Tunis,259000.0,2.0,El Aouina,"nous vous proposons à la vente un appartement s+2, situé à cité el wahat l'aouina, dans une résidence sécurisée dotée de double ascenseurs. il se compose d'un salon lumineux avec balcon ouvrant sur une kitchenette bien équipée, de deux chambres à coucher, dont l'une avec balcon, ainsi que d'une salle de douche commune. l'appartement est également équipé de chauffage central dans toutes les pièces.pour toute information complémentaire, n'hésitez pas à nous contacter au 58369777 ou whatsapp 25369776 ."
Tunis,189000.0,1.0,El Aouina,"nous vous proposons à la vente un appartement s+1, situé dans une magnifique résidence bien sécurisée avec caméra de surveillance, à cité el wahat. ce bien comprend un salon avec un balcon, qui s'ouvre sur une kitchenette entièrement équipée avec plaque de cuisson, hotte et four, une grande chambre à coucher, un dressing dans le couloir et une salle de douche.pour toute information complémentaire, n'hésitez pas à nous contacter au 25369776"
Ariana,220000.0,4.0,Cite Ennouzha,à vendre un appartement à cité ennouzha ariana en premier étage s+3 avec une place parkingsurface : 135 mètres carrésprix : 250 milles dinars (prix à discuter)contactez le numéro 24772413
Tunis,775000.0,4.0,Cite Du Stade,"le patio immobilier tunisie met à la vente un grand appartement s+3 de 183m2 a la marsa il se compose :d'un grand salon avec balcon, d'une cuisine équipée avec un séchoir et d'une salle d'eau invités.la partie nuit se compose de deux chambres à coucher avec une salle de bain et une suite parentale.l'appartement il dispose de la climatisation, du chauffage centrale et d'une place parking sous-sol.pour plus d'informations merci de nous contacter au +216 28 287 487 ."
Tunis,174000.0,1.0,Ain Zaghouan,"nb:images approximatives et réelles.ain zaghouin cite les palmeraies a vendre un appartement s1 jamais habité en cours de construction, sera achevé en octobre 2024, dans une résidence bien sécurisée avec ascenseur. il se compose dun salon lumineux, kitchenette est équipée avec des éléments de rangements, elle est complétée par un séchoir. une chambre à coucher et une salle de douche. l'appartement est équipé avec chauffage central installé dans toutes les pièces.pour plus d information contacter: 94274231l aouina ain zaghouen soukra la marsa lac 1 lac2 jardin de carthage"
Tunis,183000.0,1.0,El Aouina,"ain zaghouen au cite les palmeraies avendre un appartement s+1, dans une résidence bien sécurisée avec ascenseur. il se compose une salon lumineux, une kitchenette et équipée avec des éléments de rangements, elle est complétée par un séchoir,une chambre à coucher  l'appartement est équipé avec chauffage central et climatisation pris installé dans toutes les pièces. pour plus d information contacter :94274231"
Tunis,169000.0,1.0,El Aouina,"nb:images approximatives et réelles.ain zaghouin cite les palmeraies a vendre un appartement s1 jamais habité en cours de construction, sera achevé en octobre 2024, dans une résidence bien sécurisée avec ascenseur. il se compose dun salon lumineux, kitchenette est équipée avec des éléments de rangements, elle est complétée par un séchoir. une chambre à coucher et une salle de douche. l'appartement est équipé avec chauffage central installé dans toutes les pièces.pour plus d information contacter: 94274231l aouina,,ain zaghouen,,soukra la marsa,lac 1 ,lac2 -jardin de carthage"
Tunis,327000.0,2.0,El Aouina,"nb: les photos sont approximative.ain zaghouen cite les palmeraies a vendre un appartement s+2, dans une résidence bien sécurisée avec ascenseur. il se compose une salon lumineux, cuisine équipée avec des éléments de rangements,plaque haut four , elle est complétée par un séchoir et deux chambres à coucher et une salle de bain l'appartement est équipé avec chauffage central installé dans toutes les pièces94274231pour plus d information contacter 94274231"
Tunis,480000.0,2.0,Jardins de Carthage,"a jardin de carthage avendre un appartement s+2, dans une résidence bien sécurisée avec ascenseur. il se compose une salon lumineux, cuisine équipée avec des éléments de rangements, elle est complétée par un séchoir et deux chambres à coucher et une salle de eau et salle de bain l'appartement est équipé avec chauffage central et climatisation installé dans toutes les pièces. pour plus d information contacter : 94274231"
Tunis,713000.0,3.0,Jardins de Carthage,"l'agence darek immobilière propose à la vente une appartement de type s2 dans  une résidence de très haut standing située dans le quartier luxueux les jardins de carthage à tunis est un véritable bijou architectural.la résidence s'étend sur quatre étages (r+4) et est dotée d'un parking au sous-sol, offrant ainsi un espace de stationnement pratique et sécurisé pour ses résidents.avec une façade ubaie vitrée, offrant ainsi une vue panoramique sur les environs et un éclairage naturel optimal.les appartements de la résidence sont dotés de surfaces généreuses allant jusqu'à 123 m², offrant ainsi un espace de vie confortable pour ses résidents. les intérieurs sont aménagés avec des matériaux haut de gamme et une attention particulière a été portée aux détails pour offrir un cadre de vie luxueux et raffiné.les espaces communs de la résidence sont tout aussi luxueux, avec un hall d'entrée élégant et une sécurité 24h/24.offre une vie luxueuse, confortable et pratique dans l'un des quartiers les plus prestigieux de tunisepour plus d'info veuillez appeler le 51603900/51614130/99603906"
Tunis,139000.0,2.0,El Medina,"a vendre studio au coeur du centre ville 20 mètre de av habib bourguiba se compose de gd salon, une chambre, douche, s.e situé au 2 eme em étage. prix demandé 139md pour visiter contactez agence immobilière el mostakbel sur 21291414"
Tunis,100000.0,3.0,Berge Du Lac,green immobilière vous propose à la vente un bel appartemen tune superficie habitable de 238 m².   au sixième étage dans une résidence sécurisée et proche de toutes commodités aux berges du lac 2.il est composé :-un salon salle à manger avec terrasse-une salle d'eau-une cuisine équipée avec séchoir-deux chambres à coucher avec une salle de bain commune-une suite parentale-deux places de parking au sous-sol sont disponiblesprix demandé : 1.000.000 mdtcontact : 00216 98 100 513
Ariana,150000.0,4.0,Cite Ennouzha,"l'agence immo contact met en vente a la cité ennozha pour 150000 dt un s plus 3 (80m) au 4 eme etage sans ascenseur , titre bleu (wb3981) frais de visite 20dt , commission agence 2 pourcent"
Ariana,295000.0,2.0,Ariana Essoughra,"vaa 011a vendre à ariana soghra un bel appartement s+2 avec titre foncier individuel, situé au 2ème étage dune résidence  r+2 gardée et sécurisée sans ascenseur, accès rapide et proche de toutes commodités , esprit , pôle technologique , grandes surfaces .lappartement est composé de :un salon salle à manger avec balcon2 chambres à coucher dont une avec dressing1 dressing dans le hall.une cuisine équipée de plaque et hotte.1 salle de bain1 séchoir1 garage privé pour voiture.lappartement est doté de climatiseur et de chauffage central.prix de vente 295 milles dinars légèrement négociablepour plus de renseignements, merci de contacter notre agence m&f immo au 27 256 257"
Ariana,175000.0,2.0,Ariana,"vaa 009a vendre à lariana un appartement s+2 avec titre foncier individuel, situé au 2eme étage dans une résidence sécurisée, gardée et proche de toutes commodités, de lhôpital mahmoud matri et de riadh landalous. lappartement est composé comme suit :une entréeun salon salle à manger avec balconune salle de bainune salle d'eau2 chambres à coucher avec placardsune cuisine avec armoireun séchoirune place de parkingprix de vente 175 000 dinars légèrement négociable.pour plus dinformations, merci de contacter notre agence immobilière m&f immo au 27 256 257"
Ariana,195000.0,2.0,Cite Ennkhilet,"vaa 004a vendre un bel apt s+2 à ennkhilet ariana situé au 1ér étage dune résidence calme et sécurisé avec un titre foncier individuel. lappartement est composé dun salon avec balcon , de deux chambres  à coucher, dune cuisine aménagée et équipée de plaque , hotte et four , dun séchoir et dune salle de bain .lappartement est doté de chauffage central et de climatiseur .prix : 195md légèrement négociable.pour plus dinformations, merci de contacter notre agence immobilière m&f immo : 27 256 257 whatsapp : 27 256 257."
Ariana,290000.0,3.0,El Menzah 7,"vam 019a vendre à el menzah 7 un appartement s+3 avec titre foncier individuel, retapé à neuf, dune superficie habitable de115 mètres carrés, situé au 3ème étage d'une résidence gardée et sécurisée avec un grand espace vert et proche de toutes commodités. un ascenseur neuf est en cours dinstallation. lappartement est composé comme suit :un grand salon salle à manger.3 chambres à coucher dont 2 avec dressing.une salle de bain.une salle d'eau.une cuisine bien meublée avec plaque de cuisson.un séchoirlappartement est doté de chauffage central, de 2 climatiseurs, dun abri de voiture et dun cellierprix de vente 290 milles dinarspour plus dinformations, merci de contacter notre agence immobilière m&f immo au 27 256 257"
Tunis,250000.0,4.0,Cite Oplympique,"l'agence immo contact met en vente a la cité olympique pour 250000 dt un s plus 3 (100m) avec salle de bain , balcon , séchoir , titre bleu (wb3906) frais de visite 20dt , commission agence 2 pourcent"
Ariana,270000.0,3.0,Cite Ennasr 2,"l'agence immo contact met en vente a ennasr 2 pour 270000 dt un s plus 2 (120m) avec chauffage central , climatisation , salle de bain , salle d'eau , balcon , séchoir , actuellement loué , titre bleu (wb3881) frais de visite 20dt , commission agence 2 pourcent"
Ariana,210000.0,1.0,Sidi Thabet,a vendre à sidi thabet ariana de 445 mettre carré10 minutes à géant / 20 minutes à centre ville tuneseau et électricité  sont disponiblepour plus d'information contacté 26060353
Tunis,250000.0,4.0,Cite Oplympique,"l'agence immo contact met en vente a la cité olympique pour 250000 dt un s plus 3 (105m) au 3 eme etage sans ascenseur , titre bleu (wb3904) frais de visite 20dt , commission agence 2 pourcent"
Ariana,310000.0,4.0,Cite Ennasr 2,"l'agence immo contact met en vente a ennasr 2 pour 310000 dt un s plus 3 (120m) avec chauffage central , climatisation , salle de bain , salle d'eau , séchoir , 2 places parking sous sol , titre bleu (wb3734) frais de visite 20dt , commission agence 1 mois"
Ariana,370000.0,3.0,Cite Ennasr 2,"l'agence immo contact met en vente a ennasr 2 ( pas tres loin de l hotel samarons ) pour 370000 dt un s plus 2 (116m nets ) avec chauffage central , climatisation ,  parking sous sol , titre bleu (wb3970) frais de visite 20dt , commission agence 2 pourcent"
Tunis,250000.0,4.0,El Menzah 4,"l'agence immo contact met en vente a el manzah 4 ( pas loin de la cité des sciences )  pour 250000 dt un s plus 3 (100m) avec salle de bain , placards , séchoir (wb3801) frais de visite 20dt , commission agence 2 pourcent , visites possiblesa partir du mois de septembre"
Tunis,330000.0,4.0,Tunis Belvedere,"l'agence immo contact met en vente pour 330000 dt au centre ville de tunis ( pas tres loin  de la banque centrale ) un s plus 3 rénové (160m) au 4 eme etage sans ascenseur (wb3996) frais de visite 20dt , commission agence 2 pourcent"
Ariana,210000.0,1.0,Sidi Thabet,offre de jour:un lot de 262 mettre carré  à sidi thabet ariana10 minutes de la géant / 20 minutes de la centre ville tunes / 40 minutes de la bizareteau et électricité sont disponiblepour plus d'information contacté 26060353
Ariana,185000.0,3.0,El Menzah 7,"l'agence immo contact met en vente a el manzah 7 pour 185000 dt un s plus 2 (74m) avec salle de bain , salle d'eau , parking , 3 eme etage sans ascenseur , titre bleu (w3965) frais de visite 20dt , commission agence 2 pourcent"
Ariana,220000.0,2.0,Cite Ennasr 1,"van 037a vendre un appartement s+2 avec titre foncier individuel, dune superficie nette de 96 m² de moyen standing à ennasr 1 situé au 3ème étage dune résidence sans ascenseur, proche de toutes commodités.lappartement est composé de :un salon salle à manger2 chambres à coucherune cuisine.1 salle de bain1 séchoirune terrasse.chauffage central et placardsprix de vente 220 milles dinarspour plus de renseignements, merci de contacter notre agence m&f immo au 27 256 257"
Tunis,220000.0,3.0,Bab Bhar,"vbt 001a vendre au centre-ville de tunis au 1er étage dun bel immeuble bureautique et près de la banque centrale de tunisie, un bureau avec titre foncier individuel, moderne composé de 3 grandes pièces, un hall et 2 salles deau totalisant 82 m² de surface nette. le bureau est équipé de climatisation centrale et limmeuble dispose dun ascenseur.convient pour médecin, architecte, bureau détude, comptable ou expert-comptable, topographe etc.prix de vente : 220 mille dinars négociablepour plus dinformations, contacter m&f immo au 27 256 257"
Ariana,255000.0,2.0,Cite El Ghazala 1,"vag 002a vendre à cité la gazelle un bel appartement s+2 avec titre foncier individuel, situé au 5ème étage dune résidence gardée et sécurisée avec ascenseur codé, accès rapide et proche de toutes commodités avec une vue panoramique.lappartement est composé de :un salon salle à manger avec balcon2 chambres à coucher dont une avec dressing de 4 mètresune cuisine équipée de plaque, four et hotte.1 salle de bain1 séchoirlappartement est doté dune porte dentrée blindée ,de 2 climatiseurs, un au salon et lautre dans la chambre à coucher, de chauffage central et placards de rangements et dun garage avec titre foncier individuel pour voiture au sous-sol.prix de vente 255 milles dinars négociablepour plus de renseignements, merci de contacter notre agence m&f immo au 27 256 257"
Ariana,210000.0,1.0,Sidi Thabet,a vendre lot de coin de 252 m2 à sidi thabet ariana10 minutes de  la géant / 20 minutes de la centre ville tunes / 40 minutes de la bizareteau et électricité sont disponibleplus détaille contacté 26060353
Ariana,330000.0,3.0,Cite El Ghazala 1,"vag 003a vendre à la cité la gazelle un bel appartement s+3 avec titre foncier individuel, situé au 2ème étage avec ascenseur dune résidence gardée et sécurisée, accès rapide et proche de toutes commodités , esprit , pôle technologique , grandes surfaces .lappartement est composé de :un salon salle à manger1 suite parentale2 chambres à coucher dont une avec dressingune cuisine meublée et équipée de plaque, four, hotte et lave-vaisselle tous de marque bosch.1 salle de bain1 séchoir1 place de parking au sous-sol1 double cellier.lappartement est doté de climatiseur et de chauffage central, le salon et le couloir sont en marbre blanc ditalie, les chambres en marbre thalaprix de vente 330 milles dinars + 20 milles dinars place de parking + 15 milles dinars le cellierpour plus de renseignements, merci de contacter notre agence m&f immo au 27 256 257"
Ariana,210000.0,1.0,Sidi Thabet,a vendre lot de coin de 262 m2 à sidi thabet ariana10 minutes de  la géant / 20 minutes de la centre ville tunes / 40 minutes de la bizareteau et électricité sont disponibleplus détaille contacté 26060353
Ariana,195000.0,1.0,Riadh Landlous,"var 004on met à la vente à riadh landalous un bel appartement s+1 avec titre foncier individuel situé au 4ème étage dune résidence avec ascenseur. ; la résidence est calme et bien sécurisée. lappartement se compose dun grand salon, dune chambre à coucher avec dressing, dune salle de bain, dune cuisine meublée et équipée de plaque, hotte et four et dun séchoir. lappartement est doté de chauffage central, de climatiseurs et dune place de parking au sous-sol.prix de vente 195 mille dinars.pour plus de renseignements, merci de contacter notre agence m&f immo au 27 256 257"
Ariana,113000.0,1.0,Cite Ennkhilet,"vaa 012a vendre à enkhilet un bel appartement s+1 de haut standing avec titre foncier individuel, situé au 5ème étage avec double ascenseur dans une résidence gardée jour et nuit et sécurisée par des caméras de surveillance, avec accès rapide et proche de toutes commodités.lappartement est composé de :un salon avec porte fenêtre donnant sur un balconune kitchenette ouverte sur le salonune chambre à coucher avec porte fenêtre donnant sur un balconune salle de bainun grand balconlappartement est doté dun climatiseur, de chauffage central et dune place de parking.prix de vente 113 milles dinars légèrement négociablepour plus de renseignements, merci de contacter notre agence m&f immo au 27 256 257"
Ariana,345000.0,3.0,Cite Ennasr 2,"van 033a vendre un appartement s+3 avec titre foncier individuel de haut standing à ennasr 2 situé en mezzanine dune résidence proche de toutes commodités donnant sur lavenue hédi nouira .lappartement est composé de :un salon salle à manger3 chambres à coucherune cuisine équipée de plaque, four et hotte.1 salle de bain1 salle deau1 séchoirune terrasse2 climatiseurs.chauffage central et placards1 place de parking au sous-solprix de vente 345 milles dinarspour plus de renseignements, merci de contacter notre agence m&f immo au 27 256 257"
Ariana,210000.0,1.0,Sidi Thabet,a vendre lot de coin de 252 m2 à sidi thabet ariana10 minutes de  la géant / 20 minutes de la centre ville tunes / 40 minutes de la bizareteau et électricité sont disponibleplus détaille contacté 26060353
Ariana,210000.0,1.0,Sidi Thabet,a vendre lot de coin de 445 m2 à sidi thabet ariana10 minutes de  la géant / 20 minutes de la centre ville tunes / 40 minutes de la bizareteau et électricité sont disponibleplus détaille contacté 26060353
Tunis,245000.0,4.0,Cite Oplympique,"l'agence immo contact met en vente a la cité olympique pour 245000 un s plus 3 (118m) avec salle de bain , salle d'eau , titre bleu (wb3598) frais de visite 20dt , commission agence 2 pourcent"
Tunis,320000.0,4.0,El Menzah 9,"l'agence immo contact met en vente a el manzah 9b pour 320000 dt un s plus 3 (140m) avec chauffage central , salle de bain , séchoir , parking , 2 eme etage sans ascenseur , titre bleu (wb3080) frais de visite 20dt , commission agence 2 pourcent"
Ariana,210000.0,1.0,Sidi Thabet,a vendre lot de coin de 252 m2 à sidi thabet ariana10 minutes de  la géant / 20 minutes de la centre ville tunes / 40 minutes de la bizareteau et électricité sont disponibleplus détaille contacté 26060353
Ariana,210000.0,1.0,Sidi Thabet,a vendre lot de coin de 252 m2 à sidi thabet ariana10 minutes de  la géant / 20 minutes de la centre ville tunes / 40 minutes de la bizareteau et électricité sont disponibleplus détaille contacté 26060353
Ariana,210000.0,1.0,Sidi Thabet,a vendre lot de coin de 252 m2 à sidi thabet ariana10 minutes de  la géant / 20 minutes de la centre ville tunes / 40 minutes de la bizareteau et électricité sont disponibleplus détaille contacté 26060353
Ariana,210000.0,1.0,Sidi Thabet,a vendre lot de 262m2 à sidi thabet ariana10 minutes à géant / 20 minutes à centre ville tuneslot de 262m2prix: 210dt/m2pour plus d'information contacté 26060353
Tunis,110000.0,4.0,El Mourouj 2,agence immobilière elkarama met  en vente un bel appartement s+3 3éme étage situé dans une résidence au mourouj 2 bien sécurisée et près pharmacie hela rokbi et école hana qui se composé d'un salon trois chambres à coucher cuisine  salle de bain abri voiture ( prix discuter )pour plus d'infos contactez et voir photos sur page facebook agence immobilière elkarama ou téléphoné93731099/94626888/93983916
Tunis,585000.0,3.0,Ain Zaghouan,"appart s+3 au rez-de-chaussée situé dans un quartier calme et recherché, cet appartement bénéficie dun emplacement stratégique, à proximité immédiate de monoprix, des salles de sport, des salons de thé et à seulement 4 minutes du carrefour la marsa. il est également idéalement positionné à la 2ème ligne de lautoroute la marsa, offrant un accès rapide et pratique.dune superficie de 139 m², lappartement se compose dun grand salon-salle à manger lumineux donnant sur un balcon, dune cuisine moderne aménagée et équipée, prolongée par un séchoir. il comprend également une salle deau pour les invités, une suite parentale confortable avec sa salle de bain privée, deux chambres à coucher équipées de dressings et une salle de bain commune.lappartement est équipé du chauffage central et de climatiseurs dans toutes les pièces, garantissant un confort optimal en toute saison. il se situe au sein dune résidence gardée, offrant sécurité et tranquillité, et dispose dune place de parking privative.ce bien allie confort, praticité et qualité de vie, dans un cadre paisible et proche de toutes les commodités."
Ariana,340000.0,4.0,Cite Ennasr 2,"l'agence immo contact met en vente a ennasr 2 pour 340000 dt un s plus 3 (120m) avec chauffage central , salle de bain , titre bleu (wb3736) frais de visite 20dt , commission agence 2 pourcent"
Tunis,290000.0,4.0,Cite Oplympique,"l'agence immo contact met en vente pour 290000 dt a la cité olympique un s plus 3 rénové (110m) avec chauffage central , salle d'eau douche , 3 eme etage sans ascenseur , titre bleu (wb3737) frais de visite 20dt , commission agence 2 pourcent"
Tunis,150000.0,3.0,Cite El Khadra,"l'agence immo contact met en vente a la cité el khadhra pour 150000 dt un s plus 2 rénové (80m) avec gaz de ville , salle de bain , cuisine équipée , placards (wb2041) frais de visite 20dt , commission agence 2 pourcent"
Tunis,260000.0,3.0,El Menzah 9,"l'agence immo contact met en vente a el manzah 9a pour 260000 dt un s plus 2 (100m) avec salle de bain (wb3426) frais de visite 20dt , commission agence 2 pourcent"
Ariana,245000.0,3.0,El Menzah 7,"l'agence immo contact met en vente a el manzah 7 pour 245000 dt un s plus 2 (95m) avec salle de bain , salle d'eau , balcon , parking ,  titre bleu (wb4019) frais de visite 20dt , commission agence 2 pourcent"
Tunis,240000.0,3.0,El Manar 2,"l'agence immo contact met en vente a el manar 2 pour 240000 dt un s plus 2 (75m) avec balcon , séchoir ,  au 2 eme etage sans ascenseur (wb4014) frais de visite 20dt , commission agence 2 pourcent"
